'1989-12-05 04:00:00', '+48 197040927', '+48 197673773'
'1995-03-15 04:00:00', '+48 812541097', '+48 461395344'
'1996-01-08 17:00:00', '+48 815538598', '+48 553906337'
'1996-09-30 21:00:00', '+48 280074046', '+48 275674677'
'1986-04-27 10:00:00', '+48 063791962', '+48 380612442'
'2001-07-10 15:00:00', '+48 826886468', '+48 975265265'
'2008-10-24 21:00:00', '+48 388738803', '+48 748052465'
'2019-02-07 05:00:00', '+48 522909341', '+48 608139722'
'2010-02-12 10:00:00', '+48 110894716', '+48 425971573'
'2021-05-04 16:00:00', '+48 591280719', '+48 355946320'
'2008-09-24 15:00:00', '+48 959603365', '+48 868819106'
'1997-12-17 13:00:00', '+48 964443544', '+48 183201854'
'1984-12-27 21:00:00', '+48 140718409', '+48 296154594'
'2007-08-25 08:00:00', '+48 520059985', '+48 250259867'
'2012-07-21 23:00:00', '+48 165445499', '+48 811470808'
'2016-02-01 00:00:00', '+48 414750039', '+48 923752227'
'2019-11-17 14:00:00', '+48 422292936', '+48 124123778'
'2014-12-12 21:00:00', '+48 906762475', '+48 995227375'
'2015-01-14 01:00:00', '+48 130454624', '+48 604939359'
'2021-08-20 19:00:00', '+48 041181811', '+48 460411940'
'2013-12-02 05:00:00', '+48 822412767', '+48 749984972'
'1997-12-26 07:00:00', '+48 862788128', '+48 380019278'
'2017-07-18 14:00:00', '+48 766935733', '+48 038804138'
'2009-03-07 21:00:00', '+48 005384681', '+48 163101706'
'2009-04-19 04:00:00', '+48 531580080', '+48 446825542'
'1987-01-14 09:00:00', '+48 677533046', '+48 221721839'
'1988-03-06 02:00:00', '+48 305900154', '+48 164124432'
'2022-09-30 17:00:00', '+48 830940674', '+48 993525576'
'1987-09-21 15:00:00', '+48 880123043', '+48 793324253'
'2002-12-27 23:00:00', '+48 124557113', '+48 157750335'
'2012-09-13 17:00:00', '+48 010459328', '+48 835757676'
'1989-05-09 13:00:00', '+48 403414617', '+48 084904543'
'1990-01-11 06:00:00', '+48 352809405', '+48 723672315'
'2018-09-07 03:00:00', '+48 227096931', '+48 360194851'
'1997-03-07 00:00:00', '+48 850285779', '+48 057927386'
'2022-01-31 00:00:00', '+48 160933244', '+48 502965540'
'2007-10-10 14:00:00', '+48 076942925', '+48 525148403'
'2010-05-18 12:00:00', '+48 859237693', '+48 589354470'
'1989-03-23 01:00:00', '+48 341520624', '+48 029006019'
'2019-08-13 21:00:00', '+48 011604027', '+48 961869694'
'1996-03-24 16:00:00', '+48 758527844', '+48 421284744'
'1993-11-13 20:00:00', '+48 696352855', '+48 868060485'
'1986-05-01 16:00:00', '+48 880581394', '+48 533752975'
'1993-02-23 00:00:00', '+48 991099401', '+48 304476335'
'2016-04-25 07:00:00', '+48 400573404', '+48 505546024'
'1991-03-22 03:00:00', '+48 191778422', '+48 608405665'
'2013-06-01 16:00:00', '+48 220853273', '+48 303206200'
'1988-12-16 18:00:00', '+48 310846662', '+48 081474930'
'1992-02-01 17:00:00', '+48 907209603', '+48 738519787'
'2019-05-25 20:00:00', '+48 690277507', '+48 051607617'
'2009-11-29 01:00:00', '+48 791611558', '+48 225796638'
'1998-06-09 06:00:00', '+48 616061224', '+48 158955060'
'2015-01-14 18:00:00', '+48 785906138', '+48 385605270'
'2022-08-22 12:00:00', '+48 834903203', '+48 630893989'
'1987-09-11 17:00:00', '+48 464788121', '+48 281130902'
'2018-10-31 07:00:00', '+48 562753927', '+48 209492518'
'2018-09-05 18:00:00', '+48 779221230', '+48 338147646'
'2015-07-19 23:00:00', '+48 982031266', '+48 160499354'
'2010-06-18 05:00:00', '+48 106717762', '+48 236210389'
'2020-09-11 09:00:00', '+48 914265502', '+48 607172639'
'1993-02-23 12:00:00', '+48 814641390', '+48 347827151'
'2014-09-06 04:00:00', '+48 626346151', '+48 844484943'
'2001-04-30 02:00:00', '+48 827728202', '+48 224406272'
'1984-06-03 11:00:00', '+48 347420270', '+48 650645198'
'1990-03-11 22:00:00', '+48 057897907', '+48 894462666'
'1989-08-12 11:00:00', '+48 405659504', '+48 016748050'
'2005-07-20 17:00:00', '+48 966061357', '+48 280534409'
'2017-06-05 23:00:00', '+48 625600360', '+48 363292564'
'2000-08-21 13:00:00', '+48 472108310', '+48 407452942'
'2015-12-28 14:00:00', '+48 256237924', '+48 523982116'
'2003-12-27 08:00:00', '+48 928403463', '+48 129495175'
'1999-08-24 16:00:00', '+48 354398707', '+48 914351768'
'2005-03-22 01:00:00', '+48 139791298', '+48 816470569'
'1994-01-25 04:00:00', '+48 105252586', '+48 682939620'
'1995-08-25 19:00:00', '+48 451121512', '+48 978216936'
'2007-09-03 22:00:00', '+48 312017777', '+48 071824097'
'2003-03-24 05:00:00', '+48 095117123', '+48 036079684'
'1993-05-15 15:00:00', '+48 838979407', '+48 837586877'
'1992-01-03 18:00:00', '+48 823059778', '+48 468114692'
'2016-02-13 04:00:00', '+48 572716005', '+48 199635003'
'1996-07-17 05:00:00', '+48 423375160', '+48 403868422'
'2003-05-20 22:00:00', '+48 745601243', '+48 144212926'
'1994-10-19 19:00:00', '+48 431369603', '+48 631479164'
'2013-12-04 15:00:00', '+48 023744966', '+48 965322528'
'2008-11-29 23:00:00', '+48 630102971', '+48 970550870'
'2011-01-08 01:00:00', '+48 737754455', '+48 096180441'
'2013-06-25 08:00:00', '+48 488524917', '+48 884479426'
'1986-02-20 04:00:00', '+48 440423064', '+48 741532381'
'2009-06-15 14:00:00', '+48 411524818', '+48 995593653'
'1991-04-20 11:00:00', '+48 807626289', '+48 996139004'
'1986-05-04 12:00:00', '+48 135831999', '+48 758020489'
'2012-06-10 21:00:00', '+48 856831112', '+48 732904974'
'2020-09-02 23:00:00', '+48 951387288', '+48 921842422'
'2017-04-02 17:00:00', '+48 391675970', '+48 324498073'
'2009-09-17 04:00:00', '+48 852946036', '+48 851466755'
'1991-12-08 00:00:00', '+48 766070901', '+48 067835848'
'1992-09-27 00:00:00', '+48 412608271', '+48 613913226'
'2018-07-05 20:00:00', '+48 167182566', '+48 607993420'
'1988-07-28 05:00:00', '+48 023286504', '+48 150891302'
'1987-08-04 17:00:00', '+48 628880618', '+48 082226933'
'2002-10-21 23:00:00', '+48 471061740', '+48 351321535'
'1995-10-07 06:00:00', '+48 599520706', '+48 371540334'
'1991-10-17 07:00:00', '+48 193785690', '+48 990366254'
'2010-02-11 06:00:00', '+48 338229629', '+48 228265631'
'2005-01-03 23:00:00', '+48 754039852', '+48 103027488'
'1996-01-23 11:00:00', '+48 249980136', '+48 475813761'
'1999-03-30 16:00:00', '+48 312727885', '+48 507688780'
'2012-11-18 21:00:00', '+48 515103925', '+48 497494396'
'1999-10-26 07:00:00', '+48 155802799', '+48 140752740'
'1997-04-16 10:00:00', '+48 325675792', '+48 330951992'
'1987-07-23 18:00:00', '+48 052779521', '+48 771660084'
'2018-03-01 12:00:00', '+48 401498863', '+48 250634599'
'1995-03-15 19:00:00', '+48 676250328', '+48 768076005'
'2000-02-24 04:00:00', '+48 063336061', '+48 674615656'
'2009-09-17 03:00:00', '+48 257282021', '+48 626849369'
'1997-07-16 07:00:00', '+48 274570078', '+48 020579624'
'2022-01-12 22:00:00', '+48 797519852', '+48 305506695'
'2013-02-03 06:00:00', '+48 307760041', '+48 740995717'
'2004-05-09 16:00:00', '+48 896127851', '+48 493043126'
'2014-02-16 08:00:00', '+48 160434517', '+48 192507098'
'2019-05-31 15:00:00', '+48 741228913', '+48 747122581'
'2009-04-25 20:00:00', '+48 264532837', '+48 267893110'
'2006-03-05 06:00:00', '+48 995904425', '+48 139851434'
'1985-03-15 13:00:00', '+48 020660995', '+48 342596704'
'1999-10-08 19:00:00', '+48 507728670', '+48 284672031'
'2001-03-03 07:00:00', '+48 207722810', '+48 089758505'
'2012-12-18 14:00:00', '+48 506636135', '+48 769898763'
'1988-07-09 15:00:00', '+48 957586230', '+48 899462587'
'2008-05-17 11:00:00', '+48 627472388', '+48 332322420'
'2009-12-06 08:00:00', '+48 532472815', '+48 950636958'
'2022-03-10 19:00:00', '+48 357943929', '+48 463041816'
'2015-12-03 17:00:00', '+48 716271549', '+48 435020055'
'1990-11-09 02:00:00', '+48 573416115', '+48 766573539'
'2004-05-26 07:00:00', '+48 159528980', '+48 568827761'
'1986-06-03 17:00:00', '+48 380246859', '+48 233874101'
'1997-03-31 11:00:00', '+48 627542825', '+48 768377184'
'2007-02-26 02:00:00', '+48 962274534', '+48 923097796'
'1999-04-08 19:00:00', '+48 113009628', '+48 754983680'
'2010-06-13 21:00:00', '+48 861243195', '+48 914028485'
'2019-05-12 07:00:00', '+48 683505677', '+48 121582780'
'2002-09-21 03:00:00', '+48 887843448', '+48 536242265'
'2006-09-05 02:00:00', '+48 360132697', '+48 712325905'
'2000-04-01 13:00:00', '+48 906862320', '+48 726041586'
'1997-01-20 20:00:00', '+48 282309809', '+48 511553210'
'1996-11-27 20:00:00', '+48 837946462', '+48 271484480'
'2019-01-07 03:00:00', '+48 406327286', '+48 131459668'
'2020-12-24 07:00:00', '+48 405749259', '+48 434490664'
'1987-07-20 05:00:00', '+48 221928957', '+48 833160933'
'1996-08-06 15:00:00', '+48 604969497', '+48 367677763'
'1986-09-06 07:00:00', '+48 674411994', '+48 329887616'
'2021-12-26 19:00:00', '+48 353927717', '+48 051137480'
'1989-05-05 03:00:00', '+48 065529885', '+48 936982509'
'2021-01-26 14:00:00', '+48 883882787', '+48 462514089'
'2014-01-10 05:00:00', '+48 494335147', '+48 473913603'
'2008-02-11 05:00:00', '+48 751423513', '+48 762304055'
'2000-07-09 02:00:00', '+48 495544081', '+48 953104576'
'1987-05-16 04:00:00', '+48 678397128', '+48 819857526'
'2020-07-25 14:00:00', '+48 283987235', '+48 720614816'
'1995-03-19 07:00:00', '+48 559180696', '+48 798759771'
'1994-10-09 21:00:00', '+48 432393948', '+48 403552173'
'2011-07-24 06:00:00', '+48 105793499', '+48 413230436'
'2011-06-14 13:00:00', '+48 771563534', '+48 096743481'
'1993-05-14 18:00:00', '+48 028596827', '+48 085151763'
'1990-08-07 00:00:00', '+48 109041987', '+48 310968846'
'2015-12-27 12:00:00', '+48 100154201', '+48 878324293'
'1984-11-12 12:00:00', '+48 190636050', '+48 040380352'
'1992-02-29 23:00:00', '+48 137942071', '+48 072647072'
'2004-02-05 00:00:00', '+48 020104118', '+48 112732094'
'1995-05-24 18:00:00', '+48 923356042', '+48 212790608'
'2019-11-22 06:00:00', '+48 700468957', '+48 533888846'
'2002-12-25 01:00:00', '+48 690901210', '+48 959421489'
'2020-11-05 10:00:00', '+48 458094648', '+48 962391897'
'2004-04-10 01:00:00', '+48 415901643', '+48 613843462'
'1985-10-03 05:00:00', '+48 055567934', '+48 429206612'
'2015-04-23 09:00:00', '+48 592577833', '+48 152198759'
'1994-02-13 06:00:00', '+48 208838379', '+48 786412080'
'1989-06-09 12:00:00', '+48 672365823', '+48 165528221'
'1991-01-08 15:00:00', '+48 884760709', '+48 462693976'
'1994-03-25 13:00:00', '+48 703527922', '+48 337663512'
'2019-08-28 19:00:00', '+48 216185056', '+48 434338517'
'2000-05-28 07:00:00', '+48 580105298', '+48 327379065'
'2016-04-17 18:00:00', '+48 290860243', '+48 214115415'
'2010-11-23 02:00:00', '+48 261597608', '+48 678833853'
'1998-07-29 15:00:00', '+48 547922019', '+48 146698438'
'2014-02-19 06:00:00', '+48 456017721', '+48 011235899'
'2006-08-08 01:00:00', '+48 001930388', '+48 480147944'
'1990-11-07 10:00:00', '+48 628301593', '+48 217214384'
'2016-07-01 13:00:00', '+48 028176605', '+48 352896827'
'1987-09-01 05:00:00', '+48 839934346', '+48 602282764'
'2017-05-11 07:00:00', '+48 823538517', '+48 865310755'
'1992-03-08 21:00:00', '+48 481375058', '+48 015435851'
'2010-10-08 15:00:00', '+48 301934229', '+48 801849613'
'1985-01-01 03:00:00', '+48 217492358', '+48 264370975'
'2015-02-05 08:00:00', '+48 204801250', '+48 577184916'
'2013-09-17 23:00:00', '+48 194280973', '+48 028793710'
'1999-02-10 19:00:00', '+48 801534991', '+48 943298548'
'1997-07-21 09:00:00', '+48 685447774', '+48 145080265'
'2019-04-14 01:00:00', '+48 682974434', '+48 927649372'
'2019-08-05 05:00:00', '+48 017304200', '+48 367357771'
'2020-10-26 10:00:00', '+48 887139471', '+48 657017658'
'1994-01-25 16:00:00', '+48 045497793', '+48 180235660'
'1989-06-12 11:00:00', '+48 309465511', '+48 338009975'
'2010-05-26 00:00:00', '+48 603591020', '+48 235695721'
'2007-10-01 07:00:00', '+48 986519654', '+48 928785191'
'1987-04-01 15:00:00', '+48 714482602', '+48 425462290'
'2012-01-19 10:00:00', '+48 758935775', '+48 551963907'
'2013-12-28 09:00:00', '+48 140643877', '+48 576511303'
'1986-05-18 12:00:00', '+48 135497970', '+48 348673849'
'2002-10-04 05:00:00', '+48 795449457', '+48 902761121'
'2018-09-01 22:00:00', '+48 396553127', '+48 129063702'
'2015-07-28 06:00:00', '+48 163827550', '+48 961005024'
'2017-10-22 21:00:00', '+48 466048820', '+48 358312397'
'2018-06-25 08:00:00', '+48 916590140', '+48 285446698'
'2009-11-12 22:00:00', '+48 076728302', '+48 063258051'
'1997-10-17 09:00:00', '+48 072881997', '+48 021200226'
'1996-06-01 21:00:00', '+48 286788768', '+48 346517016'
'1989-01-21 23:00:00', '+48 792211830', '+48 440340026'
'2005-11-04 12:00:00', '+48 569783133', '+48 296156211'
'1998-04-14 07:00:00', '+48 754389513', '+48 178814808'
'2017-07-20 22:00:00', '+48 378451119', '+48 662344200'
'2001-07-09 13:00:00', '+48 470229641', '+48 828593567'
'2012-03-12 17:00:00', '+48 333250011', '+48 633256981'
'1991-09-19 21:00:00', '+48 857418598', '+48 577190702'
'1998-12-31 16:00:00', '+48 689647503', '+48 565219650'
'1987-09-04 23:00:00', '+48 521359386', '+48 106893960'
'2006-11-14 16:00:00', '+48 465022166', '+48 297449636'
'2009-04-26 14:00:00', '+48 023609783', '+48 339923133'
'1990-08-09 12:00:00', '+48 481287202', '+48 630852478'
'1989-01-13 06:00:00', '+48 961424768', '+48 356561822'
'2021-01-25 16:00:00', '+48 641448917', '+48 434529246'
'2010-05-26 16:00:00', '+48 121617527', '+48 360255386'
'1994-07-29 05:00:00', '+48 861466020', '+48 548787525'
'1986-01-30 07:00:00', '+48 629948002', '+48 410172902'
'1997-12-16 15:00:00', '+48 935791939', '+48 725764325'
'2015-02-06 13:00:00', '+48 369900686', '+48 401582240'
'2002-08-03 20:00:00', '+48 360431847', '+48 611013829'
'1988-06-15 06:00:00', '+48 101380814', '+48 713810178'
'1987-03-18 22:00:00', '+48 734379284', '+48 056441556'
'1989-07-15 01:00:00', '+48 873919772', '+48 148656607'
'1988-12-19 07:00:00', '+48 274419223', '+48 406906415'
'1990-07-08 00:00:00', '+48 929577134', '+48 589368708'
'1999-09-12 10:00:00', '+48 412716693', '+48 522451583'
'2013-05-08 13:00:00', '+48 966942132', '+48 932237674'
'2021-08-10 05:00:00', '+48 202993604', '+48 901566731'
'1986-04-04 12:00:00', '+48 797785672', '+48 856480492'
'1996-08-21 19:00:00', '+48 019031940', '+48 920302491'
'2005-05-21 12:00:00', '+48 956249090', '+48 718502000'
'2017-02-23 20:00:00', '+48 761616717', '+48 290548662'
'2001-11-21 15:00:00', '+48 780125108', '+48 239665635'
'2019-10-19 23:00:00', '+48 666696014', '+48 011054318'
'1993-04-13 14:00:00', '+48 218307877', '+48 284908808'
'2004-05-24 19:00:00', '+48 912567247', '+48 787167419'
'2005-08-16 03:00:00', '+48 550155324', '+48 416389369'
'2017-04-15 01:00:00', '+48 953256359', '+48 590712897'
'1989-09-01 06:00:00', '+48 795863723', '+48 822435755'
'2020-12-31 13:00:00', '+48 882663417', '+48 995102344'
'1993-12-09 09:00:00', '+48 710424720', '+48 718055591'
'2011-06-24 02:00:00', '+48 628677964', '+48 039753467'
'1999-09-10 09:00:00', '+48 500341505', '+48 177309516'
'1990-05-21 05:00:00', '+48 853623438', '+48 663762668'
'2000-01-11 18:00:00', '+48 338577788', '+48 413053986'
'1995-04-16 16:00:00', '+48 153170759', '+48 962366714'
'1992-03-04 22:00:00', '+48 802684080', '+48 797567033'
'2007-04-09 06:00:00', '+48 202974274', '+48 269332658'
'2019-01-27 21:00:00', '+48 624564406', '+48 616710340'
'2008-10-29 23:00:00', '+48 721273596', '+48 872031768'
'1995-10-08 13:00:00', '+48 643051161', '+48 989218402'
'1995-04-15 14:00:00', '+48 393920113', '+48 532552836'
'2006-02-13 13:00:00', '+48 129562232', '+48 153637030'
'2006-12-08 04:00:00', '+48 125042919', '+48 979062761'
'2010-03-25 01:00:00', '+48 144489646', '+48 199734198'
'2004-01-19 05:00:00', '+48 255108735', '+48 016907752'
'1995-07-19 06:00:00', '+48 255166506', '+48 672014348'
'1999-09-04 20:00:00', '+48 169688751', '+48 226144398'
'1989-01-12 19:00:00', '+48 529296077', '+48 809579042'
'2019-06-10 04:00:00', '+48 185767521', '+48 740747824'
'2005-03-12 19:00:00', '+48 211738441', '+48 665500557'
'1995-04-20 12:00:00', '+48 537627935', '+48 932239313'
'2003-04-17 18:00:00', '+48 201890687', '+48 778831704'
'1988-01-17 06:00:00', '+48 084801089', '+48 845690962'
'2020-12-18 18:00:00', '+48 217334644', '+48 345758379'
'2006-02-20 10:00:00', '+48 635571905', '+48 276816033'
'2005-02-09 15:00:00', '+48 467380678', '+48 833798488'
'2012-10-16 17:00:00', '+48 191801320', '+48 594355003'
'2014-02-21 22:00:00', '+48 420239472', '+48 485507385'
'2011-04-28 18:00:00', '+48 579405124', '+48 193405824'
'1991-02-20 15:00:00', '+48 301230492', '+48 863843088'
'1995-05-12 14:00:00', '+48 790189223', '+48 824780667'
'2012-01-17 13:00:00', '+48 852590026', '+48 845775021'
'2012-01-25 13:00:00', '+48 831592461', '+48 832209298'
'2023-06-26 10:00:00', '+48 007086159', '+48 945071119'
'1998-11-11 12:00:00', '+48 629781339', '+48 638487205'
'2017-02-09 11:00:00', '+48 697688862', '+48 538715823'
'1999-10-09 05:00:00', '+48 379677042', '+48 994696272'
'1985-09-17 05:00:00', '+48 262910584', '+48 415956298'
'2015-08-06 18:00:00', '+48 660613286', '+48 564924736'
'1988-09-24 05:00:00', '+48 495875848', '+48 064267426'
'2008-02-26 01:00:00', '+48 415472162', '+48 222018066'
'2004-05-27 16:00:00', '+48 570055962', '+48 848770523'
'2008-10-27 15:00:00', '+48 513307951', '+48 464060225'
'2022-11-08 21:00:00', '+48 027777747', '+48 781589556'
'1986-07-22 23:00:00', '+48 387065304', '+48 543430826'
'2006-02-23 14:00:00', '+48 540788778', '+48 895910856'
'1988-10-01 21:00:00', '+48 211190439', '+48 594846107'
'1993-06-25 03:00:00', '+48 528670293', '+48 092592340'
'2017-06-17 20:00:00', '+48 524644022', '+48 831474166'
'2012-01-25 14:00:00', '+48 569906168', '+48 200846128'
'2018-03-26 15:00:00', '+48 779010398', '+48 284118691'
'2019-04-15 22:00:00', '+48 691709568', '+48 467035417'
'2003-07-06 18:00:00', '+48 112862950', '+48 025317328'
'2014-07-27 09:00:00', '+48 555896743', '+48 409242491'
'2011-04-02 19:00:00', '+48 949771361', '+48 966814341'
'2008-08-12 16:00:00', '+48 588946647', '+48 246122783'
'2020-04-06 18:00:00', '+48 471692066', '+48 581404907'
'2021-02-02 08:00:00', '+48 170995564', '+48 285681704'
'1990-01-13 13:00:00', '+48 241654052', '+48 850402915'
'1993-07-03 03:00:00', '+48 744332617', '+48 784114254'
'1991-03-09 13:00:00', '+48 094533498', '+48 830995168'
'1993-12-01 13:00:00', '+48 119184165', '+48 508525773'
'2010-06-21 13:00:00', '+48 653037502', '+48 067842950'
'2018-05-11 05:00:00', '+48 192700252', '+48 727485530'
'2008-08-18 05:00:00', '+48 962721714', '+48 901371993'
'2004-12-27 17:00:00', '+48 163388004', '+48 987945409'
'1998-01-22 23:00:00', '+48 744323109', '+48 313040283'
'1997-06-05 03:00:00', '+48 149767664', '+48 086939101'
'2012-02-14 23:00:00', '+48 964345017', '+48 652989903'
'1986-04-16 00:00:00', '+48 611527776', '+48 837410202'
'2006-07-27 05:00:00', '+48 500074094', '+48 275964805'
'1990-07-23 08:00:00', '+48 103086134', '+48 289106885'
'2002-05-25 14:00:00', '+48 621730814', '+48 711855817'
'1998-07-09 20:00:00', '+48 327523463', '+48 420975945'
'2001-03-03 00:00:00', '+48 156187963', '+48 118507150'
'2020-08-31 22:00:00', '+48 334730760', '+48 605461722'
'2017-11-20 02:00:00', '+48 702373115', '+48 525567785'
'1998-08-20 21:00:00', '+48 619885223', '+48 741948014'
'2014-11-22 22:00:00', '+48 185341689', '+48 186012544'
'1987-02-13 17:00:00', '+48 111841093', '+48 076445058'
'2021-01-20 20:00:00', '+48 287887662', '+48 917184750'
